,UMAP_1,UMAP_2,cluster
750,-4.4281015,2.7823472,2
751,-2.3292763,5.006656,2
752,-0.6943488,6.013399,2
753,1.1831077,-5.3519874,3
754,-3.8281417,2.6417942,2
755,-0.8256824,-0.10494749,6
756,1.3516366,-2.974205,3
757,-2.9356067,3.5886164,2
758,-2.9980402,4.4712987,2
759,-4.981819,6.3874598,2
760,-4.442556,6.900126,2
761,-3.36391,3.3727865,2
762,-2.1334846,5.0667024,2
763,-3.4970772,3.8341625,2
764,-1.2620304,3.3376374,2
765,0.38794586,-5.058297,3
766,-0.8924352,4.324389,2
767,-1.0270925,6.5587773,2
768,-1.3960559,7.5859075,2
769,2.060914,-4.8632836,3
770,-2.1325593,4.81425,2
771,-5.301888,5.180445,2
772,-1.9581312,4.051875,2
773,1.1375678,-2.8513265,3
774,-4.814365,4.970687,2
775,-0.9392979,2.8633747,2
776,-0.3274342,0.45882142,6
777,2.2639618,-4.56724,3
778,0.8660369,-3.2929356,3
779,2.82622,-6.675199,3
780,-3.1407843,5.624708,2
781,-0.8081359,0.28237367,6
782,-2.6503963,7.391602,2
783,12.231095,7.8518195,1
784,1.143395,-3.1245103,3
785,-3.156296,7.572025,2
786,-1.265512,0.8648328,7
787,-2.9050443,3.795013,2
788,-0.8828304,6.225057,2
789,-4.259609,6.9807153,2
790,-4.091617,6.863302,2
791,-3.4276035,6.8376713,2
792,-0.6528957,0.4474339,6
793,2.7284975,-6.857127,3
794,2.2355652,-6.5981994,3
795,-5.0999155,4.5724835,2
796,-0.46297303,4.371291,2
797,-3.5679262,3.7668672,2
798,0.36638793,4.611884,2
799,-3.839143,2.617638,2
800,-4.524354,6.859343,2
801,-4.351922,4.978014,2
802,1.6815647,-4.2913957,3
803,1.9250973,-4.841523,3
804,-2.6314993,5.040006,2
805,-2.7234116,5.98685,2
806,-2.6658242,3.9072473,2
807,12.584697,7.8944435,1
808,12.166744,8.10916,1
809,-2.3068674,6.5386376,2
810,1.1480069,-4.582817,3
811,12.607321,7.82508,1
812,-1.5174205,7.6283083,2
813,2.650713,-6.4480352,3
814,-0.88305163,-0.05594597,6
815,-4.195495,2.5274692,2
816,-2.5270267,5.926692,2
817,-5.4729023,4.6723943,2
818,0.66613513,4.540519,2
819,-0.38652346,6.605614,2
820,12.073273,8.123581,1
821,2.3453217,-4.8962193,3
822,2.042201,-6.742414,3
823,-0.8712608,2.8145287,2
824,12.28906,7.8607035,1
825,1.862951,-6.8915195,3
